movie_id,title,rank,title_ko,title_en,year,open_date_detail,rating,runtime_min,audience_total,genres,country,directors,num_directors,cast_main,num_cast_main,cine21_score_detail,netizen_score
62504,베르메르: 위대한 전시회,136,베르메르: 위대한 전시회,,2023,2025-09-17,전체 관람가,96.0,1106.0,다큐멘터리,영국,데이비드 비커스태프,1,로버트 린제이,1,6.0,
62522,귀시,137,귀시,,2025,2025-09-17,15세이상관람가,96.0,68439.0,공포,한국,홍원기,1,"유재명, 문채원, 서영희",3,3.0,
61806,얼굴,138,얼굴,,2024,2025-09-11,15세이상관람가,103.0,1076238.0,미스터리,한국,연상호,1,"박정민, 권해효, 신현빈",3,6.33,7.15
62476,빌리와 용감한 타이거 킹,139,빌리와 용감한 타이거 킹,,2024,2025-09-11,전체 관람가,72.0,16628.0,애니메이션,말레이지아,베누드 네쿠이,1,,0,,
62500,비밀일 수밖에,140,비밀일 수밖에,,2024,2025-09-10,12세이상관람가,113.0,5778.0,"코미디, 드라마",한국,김대환,1,"장영남, 류경수, 스테파니 리",3,5.8,9.33
62519,전력질주,141,전력질주,,2025,2025-09-10,12세이상관람가,97.0,17553.0,드라마,한국,이승훈,1,"하석진, 이신영, 다현",3,5.5,
62521,가족의 비밀,142,가족의 비밀,,2025,2025-09-10,12세이상관람가,104.0,2404.0,"드라마, 코미디",한국,이상훈,1,"김혜은, 김법래, 김보윤",3,5.0,
60722,살인자 리포트,143,살인자 리포트,,2025,2025-09-05,청소년 관람불가,107.0,366279.0,스릴러,한국,조영준,1,"조여정, 정성일, 김태한",3,5.5,8.0
62497,아기돼지 3형제: 도넛별 대모험,144,아기돼지 3형제: 도넛별 대모험,,2025,2025-09-04,전체 관람가,71.0,20894.0,"어드벤처, 애니메이션",중국,유위,1,"장미, 김채하, 김아롱",3,,
61895,3학년 2학기,145,3학년 2학기,,2024,2025-09-03,12세이상관람가,104.0,19117.0,드라마,한국,이란희,1,"유이하, 김성국, 양지운",3,7.75,10.0
62270,3670,146,3670,,2025,2025-09-03,15세이상관람가,124.0,21041.0,드라마,한국,박준호,1,"조유현, 김현목, 조대희",3,6.75,8.0
62407,투게더,147,투게더,,2025,2025-09-03,15세이상관람가,102.0,50245.0,"멜로·로맨스, 공포","미국,오스트레일리아",마이클 생크스,1,"데이브 프랭코, 알리슨 브리, 데이먼 헤리먼",3,6.5,8.5
62535,너는 나를 불태워,148,너는 나를 불태워,,2024,2025-08-27,15세이상관람가,64.0,3468.0,드라마,"아르헨티나,스페인",마티아스 피녜이로,1,"가브리엘라 사이돈, 마리아 비샤르",2,6.75,5.0
62379,극장판 귀멸의 칼날: 무한성편,149,극장판 귀멸의 칼날: 무한성편,,2025,2025-08-22,15세이상관람가,155.0,5650249.0,애니메이션,일본,소토자키 하루오,1,"하나에 나츠키, 키토 아카리, 시모노 히로",3,7.0,8.6
62349,명탐정 코난: 척안의 잔상,150,명탐정 코난: 척안의 잔상,,2025,2025-07-16,12세이상관람가,109.0,748971.0,애니메이션,일본,시게하라 카츠야,1,"김선혜, 강수진, 이정구",3,6.5,
